GC1	GC2	GC3	GC	CAI	CBI	Fop	Nc	Gravy	Aromo
53.59	40.19	50.24	48.01	0.24	-0.009	0.401	60.16	0.151442	0.110577
50.74	39.71	63.97	51.47	0.184	0.014	0.424	52.58	-0.642963	0.118519
46.39	43.3	64.95	51.55	0.17	0.066	0.455	48.25	-1.110417	0.083333
57.14	41.61	49.07	49.28	0.161	-0.051	0.387	61	-0.403125	0.0375
54.61	61.62	50.92	55.72	0.204	0.137	0.49	57.46	-0.220741	0.066667
60.48	45.49	53.15	53.04	0.248	0.088	0.465	48.81	-0.368771	0.064846
54.79	45.21	52.05	50.68	0.204	0.017	0.411	51.53	-0.10069	0.062069
52.04	42.84	54.93	49.93	0.21	0.111	0.473	57.8	-0.016842	0.118421
56.84	52.59	45.28	51.57	0.202	-0.041	0.4	54.46	-1.041844	0.049645
55.7	48.1	55.7	53.16	0.224	0.105	0.484	56.74	-0.699363	0.038217
64.23	64.5	52.03	60.25	0.192	0.008	0.403	54.09	0.156793	0.040761
59.87	49.1	55.26	54.74	0.221	0.038	0.448	55.75	-1.045186	0.075738
58.71	44.78	53.73	52.4	0.188	0.07	0.459	61	-0.6565	0.055
56.3	37.78	70.37	54.81	0.185	-0.017	0.397	47.91	-0.544776	0.11194
59.74	45.75	61.3	55.6	0.205	0.028	0.434	55.6	-0.547619	0.065934
50.51	38.38	55.56	48.15	0.248	0.144	0.49	59.4	-0.072635	0.108108
57.03	41.91	53.58	50.84	0.189	0.052	0.425	59.15	-0.107447	0.087766
55.14	55.14	52.34	54.21	0.23	0.106	0.48	54.2	-0.382075	0.113208
60.93	66.84	48.59	58.78	0.177	0.069	0.472	53.16	-0.187371	0.054124
63.48	48.12	57.0	56.2	0.169	-0.027	0.411	55.37	-0.980684	0.052991
55.53	41.96	58.54	52.01	0.214	0.093	0.46	55.14	-0.239295	0.098237
55.76	41.55	57.91	51.74	0.217	0.075	0.442	60.56	0.043279	0.094086
57.18	39.63	53.99	50.27	0.219	0.07	0.444	58.95	-0.1064	0.109333
60.78	48.04	51.96	53.59	0.205	0.073	0.458	60.06	-0.230693	0.148515
61.54	58.09	52.7	57.44	0.182	0.008	0.442	53.7	-0.736151	0.042673
70.69	46.55	58.62	58.62	0.228	0.152	0.472	51.82	-0.110526	0.052632
54.05	43.92	52.93	50.3	0.176	0.022	0.415	59.61	-0.084425	0.097065
56.56	41.13	53.21	50.3	0.184	-0.017	0.386	58.1	-0.193299	0.095361
53.42	39.24	57.22	49.96	0.217	0.098	0.462	56	-0.204061	0.098985
49.37	44.3	40.51	44.73	0.182	0.054	0.421	45.94	0.066667	0.076923
66.06	55.96	52.29	58.1	0.245	0.252	0.539	53.6	-0.321296	0.074074
52.17	47.1	59.06	52.78	0.227	0.114	0.485	55.93	-0.197091	0.087273
64.33	42.66	52.6	53.2	0.198	-0.066	0.379	59.93	-0.657466	0.058824
46.67	52.38	52.38	50.48	0.153	-0.123	0.333	61	-0.032692	0.125
50.0	53.66	63.41	55.69	0.224	0.094	0.474	58.15	-0.146914	0.049383
52.11	45.07	49.3	48.83	0.216	0.138	0.478	50.86	-0.194286	0.1
46.88	56.25	48.96	50.69	0.199	0.062	0.462	59.32	0.148421	0.094737
62.22	50.0	62.22	58.15	0.158	0.046	0.442	52.91	-0.373034	0.044944
53.57	51.53	50.0	51.7	0.212	0.03	0.443	58.54	-1.211795	0.061538
55.48	51.83	53.49	53.6	0.185	-0.006	0.424	60.73	-0.874333	0.063333
51.82	45.99	54.01	50.61	0.162	-0.056	0.381	59.58	-0.257353	0.095588
55.49	56.65	60.69	57.61	0.22	0.209	0.528	56.44	-0.295349	0.069767
47.31	51.61	49.46	49.46	0.243	0.098	0.471	49.77	-0.007609	0.130435
47.22	55.56	49.31	50.69	0.178	0.003	0.41	56.72	-0.127972	0.06993
57.32	42.5	59.49	53.1	0.225	0.124	0.475	56.56	-0.044565	0.099638
56.7	38.92	54.64	50.09	0.202	0.032	0.418	60.33	-0.114729	0.082687
53.62	39.8	52.63	48.68	0.202	-0.022	0.398	56.51	0.016832	0.108911
55.8	50.45	50.89	52.38	0.177	0.007	0.41	61	-0.353363	0.085202
55.21	41.41	49.39	48.67	0.214	0.08	0.456	61	-0.166462	0.098462
55.91	40.94	50.39	49.08	0.2	0.044	0.425	61	-0.037369	0.113158
54.42	42.86	51.7	49.66	0.236	0.133	0.496	54.68	-0.543151	0.116438
57.0	46.38	55.56	52.98	0.244	0.085	0.462	50.8	-0.180583	0.101942
52.81	40.31	55.94	49.69	0.181	-0.01	0.395	60.95	0.093417	0.087774
53.78	41.18	60.92	51.96	0.215	0.009	0.423	56.69	-0.407595	0.113924
51.98	45.2	59.32	52.17	0.265	0.224	0.547	59.45	-0.764205	0.096591
56.31	54.37	60.19	56.96	0.221	0.062	0.465	54.03	-0.687255	0.0
50.88	33.33	63.16	49.12	0.321	0.039	0.453	43.7	0.153571	0.107143
58.16	39.74	53.68	50.53	0.195	0.045	0.424	56.55	-0.016623	0.108179
55.79	40.0	58.42	51.4	0.207	0.112	0.467	58.08	-0.258048	0.102902
60.44	42.23	52.18	51.62	0.206	0.058	0.42	56.92	-0.06472	0.077859
54.79	45.21	51.0	50.33	0.181	-0.002	0.402	60.23	0.005134	0.100446
58.67	39.77	55.95	51.46	0.237	0.098	0.458	57.99	-0.082031	0.103516
47.06	44.12	50.0	47.06	0.154	-0.06	0.359	61	-0.052239	0.119403
58.79	37.69	54.52	50.34	0.176	-0.037	0.395	60.04	-0.99471	0.032746
59.01	41.23	46.91	49.05	0.205	0.062	0.433	58.61	-0.079703	0.091584
57.93	41.68	54.79	51.47	0.227	0.077	0.455	57.43	-0.2	0.119608
58.35	41.95	63.01	54.44	0.204	-0.009	0.423	57.18	-1.005572	0.021084
52.74	43.88	56.96	51.2	0.159	-0.122	0.339	51.75	-0.73178	0.012712
56.67	47.18	51.28	51.71	0.199	-0.021	0.399	59.39	-0.066067	0.077121
53.85	44.06	58.74	52.21	0.156	-0.061	0.375	60.66	-0.54507	0.028169
65.71	30.0	55.71	50.48	0.264	0.055	0.456	58.74	-0.63913	0.028986
56.8	49.51	54.85	53.72	0.237	0.103	0.487	56.02	-0.513659	0.043902
52.3	39.02	57.72	49.68	0.202	0.052	0.428	52.34	0.135054	0.095109
53.04	41.22	59.3	51.19	0.211	0.101	0.458	57.02	-0.054181	0.097561
49.51	47.55	59.31	52.12	0.201	-0.04	0.403	52.72	-0.424138	0.068966
65.0	47.5	58.33	56.94	0.143	-0.017	0.402	54.16	-0.823529	0.067227
60.87	63.04	48.66	57.53	0.164	-0.117	0.37	51.11	-0.541039	0.061977
51.18	41.71	60.66	51.18	0.226	0.159	0.496	54.18	-0.018613	0.091241
52.95	41.14	56.02	50.04	0.233	0.094	0.469	56.78	-0.277412	0.111842
51.93	39.91	61.0	50.94	0.218	0.149	0.484	56.9	0.024318	0.095455
52.39	42.65	58.94	51.33	0.209	0.085	0.453	54	-0.067199	0.088652
53.44	40.82	56.07	50.11	0.228	0.132	0.483	56.65	-0.010837	0.098522
57.04	40.74	55.93	51.23	0.246	0.106	0.48	57.9	-0.51577	0.051948
59.39	39.71	59.93	53.01	0.237	0.112	0.488	56.07	-0.734946	0.048387
55.38	35.86	55.98	49.07	0.219	0.013	0.424	58.44	-0.348902	0.0499
60.24	35.54	60.04	51.94	0.205	-0.061	0.386	61	-0.846881	0.032193
51.39	45.14	55.56	50.69	0.202	0.064	0.424	50.43	0.515385	0.083916
