GeneID,Total_Codons,A%,T%,G%,C%
Psal_000001,117,22.22,32.48,17.09,28.21
Psal_000002,66,15.15,21.21,31.82,31.82
Psal_000003,48,16.67,18.75,31.25,33.33
Psal_000004,91,27.47,20.88,29.67,21.98
Psal_000005,203,20.2,32.51,20.2,27.09
Psal_000006,357,15.41,35.01,14.57,35.01
Psal_000007,88,20.45,28.41,22.73,28.41
Psal_000008,436,17.66,27.29,27.98,27.06
Psal_000009,249,34.94,23.69,16.87,24.5
Psal_000010,98,18.37,26.53,20.41,34.69
Psal_000011,291,21.31,28.18,20.62,29.9
Psal_000012,436,22.25,27.29,17.2,33.26
Psal_000013,116,23.28,25.0,23.28,28.45
Psal_000014,64,10.94,18.75,31.25,39.06
Psal_000015,611,22.42,19.8,25.86,31.91
Psal_000016,158,19.62,27.85,16.46,36.08
Psal_000017,222,22.07,24.32,23.87,29.73
Psal_000018,59,30.51,27.12,16.95,25.42
Psal_000019,301,17.28,38.87,26.25,17.61
Psal_000020,333,24.32,21.02,31.23,23.42
Psal_000021,222,19.82,23.87,24.77,31.53
Psal_000022,216,22.22,26.39,22.69,28.7
Psal_000023,209,19.14,26.79,24.88,29.19
Psal_000024,57,22.81,24.56,26.32,26.32
Psal_000025,827,19.59,30.96,28.17,21.28
Psal_000026,38,15.79,26.32,26.32,31.58
Psal_000027,268,24.25,23.13,24.63,27.99
Psal_000028,223,22.42,25.56,24.66,27.35
Psal_000029,213,22.54,24.88,15.96,36.62
Psal_000030,48,25.0,31.25,16.67,27.08
Psal_000032,76,22.37,31.58,19.74,26.32
Psal_000033,151,21.85,19.87,23.84,34.44
Psal_000034,238,29.83,19.75,21.85,28.57
Psal_000035,62,24.19,24.19,29.03,22.58
Psal_000036,55,12.73,20.0,34.55,32.73
Psal_000037,43,25.58,37.21,9.3,27.91
Psal_000038,61,22.95,32.79,26.23,18.03
Psal_000039,55,21.82,20.0,32.73,25.45
Psal_000040,109,23.85,33.94,22.94,19.27
Psal_000041,181,25.41,22.1,24.31,28.18
Psal_000042,79,22.78,25.32,18.99,32.91
Psal_000043,119,15.97,24.37,23.53,36.13
Psal_000044,56,12.5,41.07,16.07,30.36
Psal_000045,95,23.16,28.42,21.05,27.37
Psal_000046,309,18.12,28.16,27.51,26.21
Psal_000047,216,25.0,21.76,25.46,27.78
Psal_000048,157,27.39,19.11,20.38,33.12
Psal_000049,140,23.57,28.57,27.14,20.71
Psal_000050,179,25.7,23.46,18.44,32.4
Psal_000051,217,23.5,25.35,22.58,28.57
Psal_000052,76,23.68,31.58,18.42,26.32
Psal_000053,124,20.97,31.45,24.19,23.39
Psal_000054,177,19.77,22.6,20.9,36.72
Psal_000055,130,18.46,20.0,23.85,37.69
Psal_000056,90,24.44,18.89,30.0,26.67
Psal_000057,71,8.45,26.76,28.17,36.62
Psal_000058,25,4.0,24.0,12.0,60.0
Psal_000059,218,22.94,26.15,18.81,32.11
Psal_000060,206,20.39,18.93,25.24,35.44
Psal_000061,249,23.29,26.91,24.1,25.7
Psal_000062,271,23.62,25.46,21.4,29.52
Psal_000063,276,23.19,23.55,26.45,26.81
Psal_000064,38,23.68,26.32,26.32,23.68
Psal_000065,202,24.26,24.26,31.19,20.3
Psal_000066,236,23.31,29.66,22.03,25.0
Psal_000067,278,24.82,25.9,24.1,25.18
Psal_000068,356,16.85,20.79,32.3,30.06
Psal_000069,140,21.43,23.57,35.0,20.0
Psal_000070,239,25.1,24.69,23.85,26.36
Psal_000071,89,23.6,16.85,31.46,28.09
Psal_000072,33,21.21,30.3,27.27,21.21
Psal_000073,124,19.35,27.42,16.94,36.29
Psal_000074,210,25.71,17.62,15.71,40.95
Psal_000075,323,20.12,19.5,21.98,38.39
Psal_000076,112,16.96,17.86,32.14,33.04
Psal_000077,72,27.78,19.44,31.94,20.83
Psal_000078,432,25.69,22.92,31.25,20.14
Psal_000079,313,19.81,22.04,20.13,38.02
Psal_000080,239,20.92,27.62,19.67,31.8
Psal_000081,256,20.31,19.53,23.44,36.72
Psal_000082,329,20.36,22.8,19.76,37.08
Psal_000083,349,23.78,24.64,20.06,31.52
Psal_000084,305,17.7,26.89,25.57,29.84
Psal_000085,302,15.56,25.5,29.47,29.47
Psal_000086,273,17.95,23.81,27.11,31.14
Psal_000087,255,21.57,20.78,33.33,24.31
Psal_000088,98,17.35,27.55,22.45,32.65
Psal_000089,194,19.59,27.32,28.35,24.74
Psal_000090,85,18.82,38.82,12.94,29.41
Psal_000091,473,22.41,25.79,20.3,31.5
Psal_000092,643,20.37,23.17,26.28,30.17
Psal_000093,163,15.95,22.09,32.52,29.45
Psal_000094,80,20.0,27.5,21.25,31.25
Psal_000095,173,19.08,31.79,21.97,27.17
Psal_000096,271,19.93,22.88,23.62,33.58
Psal_000097,211,20.85,27.96,21.33,29.86
Psal_000098,85,10.59,21.18,22.35,45.88
Psal_000099,463,19.22,25.27,24.41,31.1
Psal_000100,61,22.95,29.51,16.39,31.15
Psal_000101,318,23.58,24.21,21.38,30.82
Psal_000102,67,13.43,14.93,38.81,32.84
Psal_000103,184,16.3,19.57,39.13,25.0
Psal_000104,205,17.56,26.83,20.0,35.61
Psal_000105,100,24.0,23.0,22.0,31.0
Psal_000106,104,27.88,32.69,16.35,23.08
Psal_000107,129,23.26,34.11,13.95,28.68
Psal_000108,119,22.69,24.37,30.25,22.69
Psal_000109,39,20.51,33.33,17.95,28.21
Psal_000110,493,24.54,26.37,25.35,23.73
Psal_000111,513,20.66,26.51,27.68,25.15
Psal_000112,341,26.98,26.98,23.75,22.29
Psal_000113,399,19.55,23.06,29.07,28.32
Psal_000114,104,28.85,23.08,12.5,35.58
Psal_000115,184,36.41,14.67,27.72,21.2
Psal_000116,182,36.81,14.84,27.47,20.88
Psal_000117,497,24.95,25.35,28.37,21.33
Psal_000118,177,23.73,23.16,22.6,30.51
Psal_000119,201,20.9,20.9,25.87,32.34
Psal_000120,207,23.67,27.05,24.15,25.12
Psal_000121,329,19.15,26.44,26.44,27.96
Psal_000122,230,18.26,25.22,23.48,33.04
Psal_000123,120,22.5,20.83,25.83,30.83
Psal_000124,297,18.86,22.56,21.21,37.37
Psal_000125,139,15.83,22.3,28.06,33.81
Psal_000126,199,15.08,31.16,25.13,28.64
Psal_000127,196,18.88,27.04,21.43,32.65
Psal_000128,262,19.08,24.81,26.72,29.39
Psal_000129,197,20.81,29.95,20.81,28.43
Psal_000130,162,20.99,25.31,24.07,29.63
Psal_000131,112,10.71,28.57,27.68,33.04
Psal_000132,285,24.21,23.51,23.51,28.77
Psal_000133,275,17.09,30.91,20.36,31.64
Psal_000134,115,20.87,30.43,16.52,32.17
Psal_000135,42,28.57,35.71,14.29,21.43
Psal_000136,195,28.72,20.0,24.62,26.67
Psal_000137,291,20.96,21.31,24.4,33.33
Psal_000138,317,18.93,21.77,26.81,32.49
Psal_000139,272,20.22,26.1,26.84,26.84
Psal_000140,185,19.46,21.62,25.95,32.97
Psal_000141,593,23.61,27.99,23.95,24.45
Psal_000142,490,22.45,20.61,33.06,23.88
Psal_000143,127,16.54,32.28,14.17,37.01
Psal_000144,123,17.89,26.02,17.89,38.21
Psal_000145,193,19.17,29.02,25.91,25.91
Psal_000146,186,18.82,26.88,23.12,31.18
Psal_000147,828,17.27,30.68,23.19,28.86
Psal_000149,523,20.65,30.21,24.86,24.28
Psal_000150,216,19.91,34.26,16.67,29.17
Psal_000151,505,22.57,27.52,18.61,31.29
Psal_000152,270,22.96,23.7,27.04,26.3
Psal_000153,244,16.39,29.92,21.72,31.97
Psal_000154,503,23.66,26.84,20.08,29.42
Psal_000155,357,17.37,30.53,18.77,33.33
Psal_000156,98,23.47,30.61,20.41,25.51
Psal_000157,160,19.38,21.88,20.0,38.75
Psal_000158,457,22.76,26.04,25.82,25.38
Psal_000159,34,14.71,41.18,17.65,26.47
Psal_000160,450,17.33,28.44,21.78,32.44
Psal_000161,232,24.14,21.12,27.59,27.16
Psal_000162,391,22.51,27.88,22.25,27.37
Psal_000163,54,31.48,25.93,12.96,29.63
Psal_000164,57,33.33,17.54,24.56,24.56
Psal_000165,316,18.99,30.06,23.73,27.22
Psal_000166,210,23.81,24.29,20.95,30.95
Psal_000167,119,24.37,23.53,14.29,37.82
Psal_000168,153,14.38,24.84,25.49,35.29
Psal_000169,164,15.85,28.66,24.39,31.1
Psal_000171,316,20.89,28.8,20.89,29.43
Psal_000173,163,22.09,26.38,20.25,31.29
Psal_000174,160,15.0,26.88,26.25,31.87
Psal_000175,102,18.63,19.61,31.37,30.39
Psal_000176,54,18.52,37.04,11.11,33.33
Psal_000177,406,21.92,27.83,23.89,26.35
Psal_000178,396,20.2,25.25,24.49,30.05
Psal_000179,148,17.57,31.08,17.57,33.78
Psal_000180,361,21.33,29.64,20.5,28.53
Psal_000181,146,20.55,30.82,20.55,28.08
Psal_000182,247,26.72,24.7,31.58,17.0
Psal_000184,138,26.81,21.74,33.33,18.12
Psal_000185,512,16.02,26.56,28.12,29.3
Psal_000186,183,22.95,27.87,22.4,26.78
Psal_000187,224,15.18,26.34,18.75,39.73
Psal_000188,152,19.74,25.66,23.03,31.58
Psal_000189,850,17.18,32.0,16.94,33.88
Psal_000190,116,31.03,25.0,16.38,27.59
Psal_000191,297,20.2,25.25,19.53,35.02
Psal_000192,271,18.08,26.57,21.03,34.32
Psal_000193,338,19.23,33.43,21.01,26.33
Psal_000194,143,22.38,27.27,19.58,30.77
Psal_000195,525,19.81,26.86,24.38,28.95
Psal_000196,271,16.24,31.37,14.76,37.64
Psal_000197,303,17.82,31.35,23.1,27.72
Psal_000198,309,21.68,29.77,21.04,27.51
Psal_000199,372,23.39,22.04,27.69,26.88
Psal_000200,248,21.77,23.39,19.35,35.48
Psal_000201,180,21.67,26.11,22.22,30.0
Psal_000202,542,22.32,26.38,23.99,27.31
Psal_000203,271,20.66,28.04,20.3,31.0
Psal_000204,379,21.9,29.55,19.53,29.02
Psal_000205,185,21.08,28.11,24.86,25.95
Psal_000206,144,10.42,27.78,21.53,40.28
Psal_000207,121,26.45,24.79,21.49,27.27
Psal_000208,208,20.67,26.44,24.52,28.37
Psal_000209,298,21.81,26.17,21.48,30.54
Psal_000210,298,18.12,22.82,22.15,36.91
Psal_000211,168,27.38,25.6,19.05,27.98
Psal_000212,66,18.18,21.21,31.82,28.79
Psal_000213,54,18.52,33.33,25.93,22.22
Psal_000214,217,16.13,27.65,24.88,31.34
Psal_000215,525,22.29,25.14,31.81,20.76
Psal_000216,480,19.58,26.04,24.38,30.0
Psal_000217,279,16.85,19.0,29.39,34.77
Psal_000218,99,14.14,26.26,19.19,40.4
Psal_000219,50,22.0,18.0,28.0,32.0
Psal_000220,487,22.79,29.16,21.36,26.69
Psal_000221,421,21.85,29.69,23.75,24.7
Psal_000222,432,19.68,27.31,22.45,30.56
Psal_000223,245,14.69,29.39,17.96,37.96
Psal_000224,231,24.68,32.47,19.91,22.94
Psal_000225,199,15.58,32.16,19.6,32.66
Psal_000226,315,22.54,27.94,20.0,29.52
Psal_000227,108,27.78,28.7,23.15,20.37
Psal_000228,380,12.63,34.74,21.84,30.79
Psal_000229,110,17.27,28.18,22.73,31.82
Psal_000230,333,25.23,25.23,20.12,29.43
Psal_000231,127,19.69,18.9,29.13,32.28
Psal_000232,76,23.68,18.42,34.21,23.68
Psal_000233,232,21.55,19.4,33.19,25.86
Psal_000234,268,14.55,30.22,17.16,38.06
Psal_000235,1157,23.94,34.4,19.45,22.21
Psal_000236,162,16.67,27.78,20.37,35.19
Psal_000237,271,23.62,26.57,21.03,28.78
Psal_000238,323,11.76,30.34,19.2,38.7
Psal_000239,31,3.23,41.94,16.13,38.71
Psal_000240,223,10.31,22.87,26.91,39.91
Psal_000241,95,16.84,25.26,21.05,36.84
Psal_000242,260,20.0,28.46,20.38,31.15
