title	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Psal_000001	0.3818	0.3333	0.25	0.2617	0.24	-0.009	0.401	60.16	0.477	0.481	197	208	0.151442	0.110577
Psal_000002	0.2692	0.4135	0.2234	0.3793	0.184	0.014	0.424	52.58	0.608	0.516	125	135	-0.642963	0.118519
Psal_000003	0.2533	0.4133	0.2273	0.377	0.17	0.066	0.455	48.25	0.614	0.517	88	96	-1.110417	0.083333
Psal_000004	0.2992	0.2677	0.3468	0.3361	0.161	-0.051	0.387	61	0.477	0.494	155	160	-0.403125	0.0375
Psal_000005	0.3346	0.3346	0.2172	0.2123	0.204	0.137	0.49	57.46	0.494	0.558	263	270	-0.220741	0.066667
Psal_000006	0.3737	0.4029	0.2069	0.2242	0.248	0.088	0.465	48.81	0.516	0.531	568	586	-0.368771	0.064846
Psal_000007	0.3307	0.3701	0.2368	0.2451	0.204	0.017	0.411	51.53	0.511	0.508	141	145	-0.10069	0.062069
Psal_000008	0.3111	0.3763	0.2418	0.2846	0.21	0.111	0.473	57.8	0.537	0.5	738	760	-0.016842	0.118421
Psal_000009	0.3032	0.3178	0.3872	0.2264	0.202	-0.041	0.4	54.46	0.439	0.516	412	423	-1.041844	0.049645
Psal_000010	0.2748	0.4198	0.2705	0.2417	0.224	0.105	0.484	56.74	0.549	0.533	153	157	-0.699363	0.038217
Psal_000011	0.2994	0.3372	0.2281	0.2215	0.192	0.008	0.403	54.09	0.511	0.604	360	368	0.156793	0.040761
Psal_000012	0.3145	0.4016	0.2646	0.262	0.221	0.038	0.448	55.75	0.532	0.548	745	779	-1.045186	0.075738
Psal_000013	0.2901	0.358	0.2987	0.2905	0.188	0.07	0.459	61	0.521	0.525	194	200	-0.6565	0.055
Psal_000014	0.2549	0.4804	0.14	0.4205	0.185	-0.017	0.397	47.91	0.683	0.55	126	134	-0.544776	0.11194
Psal_000015	0.2523	0.4014	0.2425	0.3519	0.205	0.028	0.434	55.6	0.598	0.556	1051	1092	-0.547619	0.065934
Psal_000016	0.2944	0.4516	0.271	0.2194	0.248	0.144	0.49	59.4	0.542	0.483	286	296	-0.072635	0.108108
Psal_000017	0.3117	0.3549	0.2643	0.2713	0.189	0.052	0.425	59.15	0.514	0.509	360	376	-0.107447	0.087766
Psal_000018	0.3034	0.3596	0.3026	0.2571	0.23	0.106	0.48	54.2	0.5	0.544	100	106	-0.382075	0.113208
Psal_000019	0.3831	0.2479	0.1921	0.2741	0.177	0.069	0.472	53.16	0.469	0.589	375	388	-0.187371	0.054124
Psal_000020	0.2691	0.3326	0.2894	0.3571	0.169	-0.027	0.411	55.37	0.549	0.562	559	585	-0.980684	0.052991
Psal_000021	0.2649	0.4286	0.2586	0.2788	0.214	0.093	0.46	55.14	0.572	0.521	383	397	-0.239295	0.098237
Psal_000022	0.293	0.3885	0.2399	0.2902	0.217	0.075	0.442	60.56	0.555	0.518	353	372	0.043279	0.094086
Psal_000023	0.3259	0.3639	0.25	0.293	0.219	0.07	0.444	58.95	0.523	0.503	363	375	-0.1064	0.109333
Psal_000024	0.3086	0.3457	0.3108	0.2778	0.205	0.073	0.458	60.06	0.5	0.538	96	101	-0.230693	0.148515
Psal_000025	0.3349	0.2877	0.2351	0.3199	0.182	0.008	0.442	53.7	0.512	0.575	1202	1242	-0.736151	0.042673
Psal_000026	0.2766	0.383	0.2222	0.2727	0.228	0.152	0.472	51.82	0.566	0.591	53	57	-0.110526	0.052632
Psal_000027	0.3	0.3487	0.2788	0.2736	0.176	0.022	0.415	59.61	0.513	0.503	429	443	-0.084425	0.097065
Psal_000028	0.3304	0.3452	0.2456	0.3004	0.184	-0.017	0.386	58.1	0.519	0.504	376	388	-0.193299	0.095361
Psal_000029	0.2697	0.4576	0.2807	0.2192	0.217	0.098	0.462	56	0.552	0.5	377	394	-0.204061	0.098985
Psal_000030	0.3944	0.2958	0.3	0.1698	0.182	0.054	0.421	45.94	0.395	0.449	76	78	0.066667	0.076923
Psal_000032	0.2947	0.3579	0.2644	0.2048	0.245	0.252	0.539	53.6	0.5	0.583	102	108	-0.321296	0.074074
Psal_000033	0.251	0.4477	0.268	0.2557	0.227	0.114	0.485	55.93	0.576	0.528	264	275	-0.197091	0.087273
Psal_000034	0.3009	0.3438	0.3068	0.3166	0.198	-0.066	0.379	59.93	0.514	0.532	430	442	-0.657466	0.058824
Psal_000035	0.3488	0.2674	0.2632	0.3194	0.153	-0.123	0.333	61	0.479	0.506	96	104	-0.032692	0.125
Psal_000036	0.2714	0.3429	0.1667	0.381	0.224	0.094	0.474	58.15	0.615	0.56	78	81	-0.146914	0.049383
Psal_000037	0.3276	0.3966	0.3036	0.1538	0.216	0.138	0.478	50.86	0.463	0.49	67	70	-0.194286	0.1
Psal_000038	0.3409	0.2841	0.2571	0.2813	0.199	0.062	0.462	59.32	0.473	0.512	91	95	0.148421	0.094737
Psal_000039	0.2027	0.3649	0.2432	0.3881	0.158	0.046	0.442	52.91	0.616	0.588	86	89	-0.373034	0.044944
Psal_000040	0.3671	0.3101	0.2899	0.2687	0.212	0.03	0.443	58.54	0.464	0.518	183	195	-1.211795	0.061538
Psal_000041	0.2762	0.3431	0.3106	0.2913	0.185	-0.006	0.424	60.73	0.517	0.537	288	300	-0.874333	0.063333
Psal_000042	0.2773	0.4118	0.2843	0.2447	0.162	-0.056	0.381	59.58	0.537	0.507	134	136	-0.257353	0.095588
Psal_000043	0.2752	0.4094	0.1884	0.2632	0.22	0.209	0.528	56.44	0.589	0.578	163	172	-0.295349	0.069767
Psal_000044	0.425	0.3625	0.1791	0.1905	0.243	0.098	0.471	49.77	0.471	0.496	87	92	-0.007609	0.130435
Psal_000045	0.3488	0.3178	0.2411	0.2476	0.178	0.003	0.41	56.72	0.482	0.51	139	143	-0.127972	0.06993
Psal_000046	0.2909	0.3966	0.2167	0.3171	0.225	0.124	0.475	56.56	0.574	0.532	524	552	-0.044565	0.099638
Psal_000047	0.2947	0.3511	0.2832	0.3134	0.202	0.032	0.418	60.33	0.528	0.501	371	387	-0.114729	0.082687
Psal_000048	0.2868	0.3915	0.3194	0.2591	0.202	-0.022	0.398	56.51	0.514	0.487	294	303	0.016832	0.108911
Psal_000049	0.3315	0.2717	0.2807	0.3072	0.177	0.007	0.41	61	0.481	0.526	210	223	-0.353363	0.085202
Psal_000050	0.3199	0.3713	0.3156	0.2287	0.214	0.08	0.456	61	0.481	0.487	316	325	-0.166462	0.098462
Psal_000051	0.3251	0.3437	0.2877	0.2707	0.2	0.044	0.425	61	0.492	0.491	372	380	-0.037369	0.113158
Psal_000052	0.3279	0.4098	0.2925	0.2105	0.236	0.133	0.496	54.68	0.496	0.498	141	146	-0.543151	0.116438
Psal_000053	0.3086	0.3714	0.2418	0.2808	0.244	0.085	0.462	50.8	0.538	0.531	197	206	-0.180583	0.101942
Psal_000054	0.2903	0.4265	0.25	0.2488	0.181	-0.01	0.395	60.95	0.55	0.497	311	319	0.093417	0.087774
Psal_000055	0.2769	0.4205	0.2294	0.321	0.215	0.009	0.423	56.69	0.59	0.52	227	237	-0.407595	0.113924
Psal_000056	0.2414	0.4138	0.2846	0.3304	0.265	0.224	0.547	59.45	0.576	0.523	170	176	-0.764205	0.096591
Psal_000057	0.3103	0.3908	0.1609	0.3059	0.221	0.062	0.465	54.03	0.594	0.572	101	102	-0.687255	0
Psal_000058	0.3913	0.5217	0.0811	0.25	0.321	0.039	0.453	43.7	0.604	0.494	53	56	0.153571	0.107143
Psal_000059	0.3031	0.4031	0.2796	0.2261	0.195	0.045	0.424	56.55	0.518	0.507	363	379	-0.016623	0.108179
Psal_000060	0.263	0.4221	0.2714	0.2829	0.207	0.112	0.467	58.08	0.564	0.515	360	379	-0.258048	0.102902
Psal_000061	0.313	0.3304	0.2759	0.2795	0.206	0.058	0.42	56.92	0.501	0.517	393	411	-0.06472	0.077859
Psal_000062	0.3175	0.3439	0.2837	0.2461	0.181	-0.002	0.402	60.23	0.488	0.504	428	448	0.005134	0.100446
Psal_000063	0.2969	0.3729	0.2591	0.315	0.237	0.098	0.458	57.99	0.542	0.515	491	512	-0.082031	0.103516
Psal_000064	0.339	0.322	0.2766	0.2791	0.154	-0.06	0.359	61	0.484	0.478	64	67	-0.052239	0.119403
Psal_000065	0.311	0.2756	0.284	0.4178	0.176	-0.037	0.395	60.04	0.532	0.505	385	397	-0.99471	0.032746
Psal_000066	0.3391	0.3247	0.3057	0.2403	0.205	0.062	0.433	58.61	0.458	0.491	395	404	-0.079703	0.091584
Psal_000067	0.2823	0.3852	0.2979	0.2787	0.227	0.077	0.455	57.43	0.529	0.515	488	510	-0.2	0.119608
Psal_000068	0.2597	0.3528	0.2238	0.441	0.204	-0.009	0.423	57.18	0.62	0.545	648	664	-1.005572	0.021084
Psal_000069	0.2659	0.2601	0.2667	0.4213	0.159	-0.122	0.339	51.75	0.557	0.513	230	236	-0.73178	0.012712
Psal_000070	0.3117	0.3148	0.2812	0.2921	0.199	-0.021	0.399	59.39	0.497	0.518	376	389	-0.066067	0.077121
Psal_000071	0.2301	0.3186	0.2759	0.375	0.156	-0.061	0.375	60.66	0.574	0.526	136	142	-0.54507	0.028169
Psal_000072	0.2917	0.375	0.2909	0.3774	0.264	0.055	0.456	58.74	0.559	0.507	68	69	-0.63913	0.028986
Psal_000073	0.3133	0.3976	0.241	0.2611	0.237	0.103	0.487	56.02	0.538	0.538	199	205	-0.513659	0.043902
Psal_000074	0.2436	0.4712	0.297	0.2032	0.202	0.052	0.428	52.34	0.561	0.497	353	368	0.135054	0.095109
Psal_000075	0.2495	0.4495	0.2563	0.2628	0.211	0.101	0.458	57.02	0.579	0.512	554	574	-0.054181	0.097561
Psal_000076	0.2941	0.3706	0.2192	0.3696	0.201	-0.04	0.403	52.72	0.582	0.524	196	203	-0.424138	0.068966
Psal_000077	0.234	0.2872	0.2828	0.4211	0.143	-0.017	0.402	54.16	0.573	0.571	117	119	-0.823529	0.067227
